iter	RMSE
0	7.729984286
1	7.484568475
2	7.26128873
3	7.06136429
4	6.893316483
5	6.757151242
6	6.63433338
7	6.52904956
8	6.437026097
9	6.371726334
10	6.308621503
11	6.260716975
12	6.222116646
13	6.182867334
14	6.148242202
15	6.111630172
16	6.089473712
17	6.073816167
18	6.055274311
19	6.042524743
20	6.027037006
21	6.011582758
22	5.999024504
23	5.987835434
24	5.97739491
25	5.964361526
26	5.953402873
27	5.946172156
28	5.939587367
29	5.931936759
30	5.921926904
31	5.914349595
32	5.908574639
33	5.899593787
34	5.896530317
35	5.88880621
36	5.881460956
37	5.876138342
38	5.868817674
39	5.862436929
40	5.853435213
41	5.849944558
42	5.846968238
43	5.84278675
44	5.836799873
45	5.831534062
46	5.82665302
47	5.821251407
48	5.81663667
49	5.811751432
50	5.797892945
51	5.793116752
52	5.792352147
53	5.78783573
54	5.785960491
55	5.781275794
56	5.77732335
57	5.77465455
58	5.773326697
59	5.772907258
60	5.766509912
61	5.762767158
62	5.761745737
63	5.759290417
64	5.758062812
65	5.751643235
66	5.750839339
67	5.749607144
68	5.748346857
69	5.744162434
70	5.739811663
71	5.739213647
72	5.737639558
73	5.734831042
74	5.727892229
75	5.724508785
76	5.721203897
77	5.719301178
78	5.717192663
79	5.713227255
80	5.711115376
81	5.710050561
82	5.707600923
83	5.70609947
84	5.703765166
85	5.699615893
86	5.698408189
87	5.697221585
88	5.695392231
89	5.691521027
90	5.688073309
91	5.685183396
92	5.682622257
93	5.680756446
94	5.675893737
95	5.674342168
96	5.673109874
97	5.668680972
98	5.664417418
99	5.662101796
100	5.658468911
101	5.655598235
102	5.654590946
103	5.652845734
104	5.650201924
105	5.648212337
106	5.643658175
107	5.6396826
108	5.635638717
109	5.632547268
110	5.627692604
111	5.624732363
112	5.621760844
113	5.618882795
114	5.615608299
115	5.612067768
116	5.60837843
117	5.604357599
118	5.601288537
119	5.592606704
120	5.589615934
121	5.58474134
122	5.582276102
123	5.573705748
124	5.570179063
125	5.566184773
126	5.559054079
127	5.556806181
128	5.552658789
129	5.549673073
130	5.546949104
131	5.544989
132	5.541384658
133	5.540850315
134	5.538627976
135	5.536006328
136	5.533667072
137	5.53154547
138	5.529156176
139	5.528112396
140	5.524151567
141	5.518971995
142	5.516680662
143	5.51321128
144	5.510508786
145	5.508623387
146	5.508031144
147	5.505553166
148	5.503592747
149	5.499646005
150	5.494147879
151	5.489341051
152	5.487895709
153	5.486869794
154	5.484997168
155	5.480662327
156	5.478302327
157	5.475590081
158	5.473730336
159	5.470735518
160	5.470302609
161	5.465244204
162	5.462335057
163	5.461235819
164	5.459609992
165	5.456118567
166	5.454134704
167	5.449640577
168	5.446417681
169	5.444224865
170	5.442863884
171	5.435920889
172	5.435406934
173	5.434000539
174	5.4325931
175	5.430614124
176	5.42718321
177	5.426749274
178	5.426003855
179	5.423631435
180	5.422641882
181	5.419415028
182	5.416282033
183	5.413077644
184	5.410664726
185	5.410193158
186	5.408694207
187	5.406745321
188	5.405385215
189	5.405320583
190	5.404821957
191	5.403272836
192	5.400386573
193	5.399928949
194	5.397577271
195	5.397075494
196	5.396146011
197	5.395636961
198	5.392887803
199	5.389968174
200	5.389262959
201	5.382542281
202	5.381478949
203	5.380549249
204	5.378476801
205	5.376899706
206	5.37607428
207	5.372629792
208	5.371928472
209	5.370619208
210	5.369325114
211	5.368436054
212	5.367126524
213	5.364529966
214	5.359861484
215	5.359471687
216	5.356291942
217	5.354380073
218	5.352610019
219	5.35145647
