iter	Passed	Remaining
0	6	3321
1	8	2216
2	12	2140
3	17	2129
4	20	2017
5	23	1907
6	28	2005
7	34	2122
8	40	2217
9	47	2329
10	61	2739
11	66	2724
12	72	2720
13	79	2765
14	86	2808
15	92	2800
16	98	2795
17	103	2770
18	109	2768
19	114	2756
20	121	2764
21	127	2771
22	133	2770
23	139	2767
24	145	2755
25	150	2746
26	156	2738
27	161	2726
28	167	2727
29	172	2708
30	180	2728
31	187	2736
32	192	2726
33	198	2723
34	205	2730
35	210	2715
36	217	2715
37	224	2734
38	230	2729
39	238	2746
40	245	2745
41	250	2736
42	256	2729
43	262	2725
44	268	2718
45	290	2865
46	296	2853
47	302	2844
48	308	2839
49	313	2819
50	319	2816
51	327	2825
52	334	2822
53	341	2824
54	348	2819
55	354	2807
56	360	2804
57	367	2799
58	378	2831
59	385	2823
60	392	2822
61	398	2812
62	404	2807
63	411	2802
64	417	2795
65	425	2796
66	433	2798
67	438	2782
68	443	2770
69	449	2761
70	456	2760
71	462	2752
72	467	2735
73	473	2723
74	478	2710
75	486	2711
76	491	2701
77	497	2694
78	504	2687
79	510	2680
80	518	2679
81	524	2676
82	533	2677
83	540	2678
84	546	2669
85	554	2666
86	559	2655
87	566	2650
88	570	2635
89	576	2625
90	582	2618
91	589	2613
92	595	2606
93	601	2597
94	608	2592
95	616	2592
96	622	2584
97	629	2580
98	637	2582
99	644	2579
100	651	2572
101	657	2567
102	664	2560
103	670	2552
104	677	2547
105	684	2543
106	692	2542
107	700	2541
108	708	2539
109	715	2537
110	723	2535
111	731	2533
112	739	2534
113	756	2560
114	764	2560
115	772	2558
116	783	2564
117	793	2569
118	817	2618
119	829	2625
120	841	2634
121	855	2650
122	870	2669
123	898	2724
124	927	2782
125	951	2823
126	967	2842
127	995	2893
128	1015	2919
129	1028	2927
130	1047	2950
131	1063	2964
132	1092	3015
133	1122	3066
134	1152	3116
135	1180	3159
136	1212	3212
137	1244	3265
138	1268	3294
139	1278	3287
140	1290	3285
141	1302	3283
142	1313	3279
143	1322	3269
144	1331	3260
145	1347	3266
146	1360	3267
147	1375	3270
148	1390	3276
149	1401	3269
150	1409	3258
151	1418	3247
152	1428	3240
153	1443	3242
154	1455	3239
155	1471	3245
156	1490	3256
157	1515	3279
158	1532	3287
159	1563	3322
160	1584	3336
161	1609	3357
162	1620	3351
163	1631	3342
164	1643	3336
165	1660	3340
166	1672	3334
167	1680	3321
168	1712	3353
169	1721	3340
170	1729	3327
171	1737	3313
172	1745	3299
173	1752	3283
174	1760	3269
175	1768	3254
176	1776	3242
177	1784	3227
178	1792	3214
179	1803	3206
180	1810	3191
181	1817	3176
182	1826	3164
183	1836	3153
184	1844	3139
185	1851	3124
186	1862	3118
187	1874	3111
188	1884	3101
189	1923	3138
190	1979	3202
191	2014	3231
192	2026	3223
193	2034	3209
194	2044	3197
195	2066	3205
196	2087	3210
197	2110	3218
198	2130	3222
199	2149	3223
200	2168	3225
201	2178	3214
202	2185	3197
203	2192	3181
204	2199	3165
205	2204	3146
206	2208	3126
207	2213	3106
208	2217	3087
209	2223	3070
210	2226	3049
211	2231	3030
212	2235	3012
213	2240	2993
214	2245	2976
215	2251	2960
216	2254	2940
217	2259	2922
218	2262	2902
219	2266	2884
220	2270	2866
221	2276	2850
222	2281	2833
223	2287	2818
224	2293	2802
225	2297	2785
226	2303	2770
227	2309	2755
228	2316	2740
229	2322	2725
230	2326	2709
231	2332	2694
232	2346	2688
233	2353	2675
234	2359	2660
235	2369	2651
236	2376	2636
237	2383	2623
238	2390	2610
239	2397	2596
240	2403	2582
241	2410	2569
242	2416	2556
243	2421	2540
244	2428	2527
245	2434	2513
246	2439	2498
247	2445	2485
248	2451	2471
249	2458	2458
250	2464	2444
251	2470	2431
252	2476	2418
253	2482	2404
254	2488	2390
255	2493	2376
256	2498	2362
257	2504	2349
258	2509	2335
259	2515	2321
260	2521	2308
261	2527	2295
262	2533	2282
263	2539	2270
264	2545	2256
265	2550	2243
266	2555	2230
267	2560	2216
268	2567	2204
269	2574	2193
270	2581	2181
271	2587	2169
272	2594	2157
273	2599	2144
274	2606	2132
275	2612	2120
276	2619	2109
277	2627	2098
278	2634	2087
279	2644	2077
280	2651	2066
281	2657	2054
282	2664	2042
283	2670	2030
284	2676	2018
285	2681	2006
286	2687	1994
287	2694	1983
288	2701	1972
289	2707	1960
290	2713	1948
291	2720	1937
292	2727	1926
293	2732	1914
294	2739	1903
295	2745	1892
296	2753	1881
297	2762	1872
298	2768	1861
299	2775	1850
300	2782	1839
301	2787	1827
302	2794	1817
303	2800	1805
304	2805	1793
305	2811	1782
306	2816	1770
307	2822	1759
308	2826	1747
309	2831	1735
310	2835	1723
311	2841	1712
312	2848	1701
313	2855	1691
314	2861	1680
315	2867	1669
316	2873	1658
317	2878	1647
318	2883	1636
319	2887	1624
320	2890	1611
321	2894	1600
322	2903	1591
323	2911	1581
324	2916	1570
325	2919	1558
326	2924	1547
327	2929	1536
328	2935	1525
329	2944	1516
330	2951	1507
331	2960	1498
332	2970	1489
333	2981	1481
334	2989	1472
335	3000	1464
336	3011	1456
337	3027	1451
338	3041	1444
339	3058	1439
340	3071	1432
341	3089	1427
342	3104	1421
343	3124	1416
344	3137	1409
345	3152	1403
346	3170	1398
347	3203	1399
348	3218	1392
349	3250	1392
350	3277	1391
351	3297	1386
352	3318	1382
353	3341	1378
354	3355	1370
355	3373	1364
356	3384	1355
357	3396	1347
358	3407	1338
359	3416	1328
360	3427	1319
361	3437	1310
362	3448	1301
363	3458	1292
364	3467	1282
365	3477	1273
366	3486	1263
367	3496	1254
368	3507	1245
369	3516	1235
370	3526	1226
371	3535	1216
372	3594	1223
373	3617	1218
374	3637	1212
375	3657	1206
376	3667	1196
377	3678	1187
378	3686	1177
379	3697	1167
380	3709	1158
381	3728	1151
382	3744	1143
383	3766	1137
384	3782	1129
385	3808	1124
386	3831	1118
387	3855	1113
388	3874	1105
389	3887	1096
390	3905	1088
391	3916	1078
392	3924	1068
393	3932	1057
394	3942	1048
395	3954	1038
396	3964	1028
397	3974	1018
398	3984	1008
399	3992	998
400	4000	987
401	4009	977
402	4018	967
403	4028	957
404	4037	947
405	4048	937
406	4059	927
407	4069	917
408	4080	907
409	4090	897
410	4102	888
411	4112	878
412	4123	868
413	4134	858
414	4146	849
415	4156	839
416	4165	829
417	4173	818
418	4182	808
419	4190	798
420	4200	788
421	4208	777
422	4221	768
423	4233	758
424	4248	749
425	4260	740
426	4277	731
427	4290	721
428	4356	720
429	4391	714
430	4400	704
431	4434	698
432	4444	687
433	4453	677
434	4460	666
435	4467	655
436	4472	644
437	4477	633
438	4482	622
439	4485	611
440	4491	600
441	4494	589
442	4499	578
443	4503	568
444	4508	557
445	4512	546
446	4515	535
447	4520	524
448	4524	513
449	4531	503
450	4536	492
451	4542	482
452	4547	471
453	4557	461
454	4564	451
455	4569	440
456	4575	430
457	4581	420
458	4589	409
459	4604	400
460	4619	390
461	4630	380
462	4638	370
463	4645	360
464	4653	350
465	4662	340
466	4672	330
467	4682	320
468	4693	310
469	4706	300
470	4717	290
471	4731	280
472	4744	270
473	4761	261
474	4777	251
475	4791	241
476	4804	231
477	4821	221
478	4849	212
479	4867	202
480	4879	192
481	4894	182
482	4916	173
483	4942	163
484	4977	153
485	5019	144
486	5054	134
487	5067	124
488	5078	114
489	5090	103
490	5104	93
491	5119	83
492	5130	72
493	5145	62
494	5160	52
495	5171	41
496	5186	31
497	5210	20
498	5229	10
499	5268	0
