iter	RMSE
0	6.995266993
1	6.987770535
2	6.979286542
3	6.972041824
4	6.962986568
5	6.955696275
6	6.94832521
7	6.941579736
8	6.935631506
9	6.927450516
10	6.91937661
11	6.911222494
12	6.904680139
13	6.897481967
14	6.890962913
15	6.883532921
16	6.876218325
17	6.86861762
18	6.861555838
19	6.854427552
20	6.847458313
21	6.841541471
22	6.835484587
23	6.829736178
24	6.823949547
25	6.8178281
26	6.813342957
27	6.80721307
28	6.801663237
29	6.795100189
30	6.789314242
31	6.784092268
32	6.779027099
33	6.774358188
34	6.76944331
35	6.764419289
36	6.75896961
37	6.753061822
38	6.747984507
39	6.742469856
40	6.738008255
41	6.731711481
42	6.725903231
43	6.720207851
44	6.714300181
45	6.709723635
46	6.705877493
47	6.700870276
48	6.69618464
49	6.691547117
50	6.68683361
51	6.681134636
52	6.676455231
53	6.672396908
54	6.667757577
55	6.66365387
56	6.659274912
57	6.6545611
58	6.650050212
59	6.645721177
60	6.642018
61	6.637997576
62	6.633842486
63	6.629204788
64	6.625097544
65	6.620964745
66	6.616413903
67	6.61200611
68	6.608472253
69	6.605024571
70	6.603780649
71	6.600744139
72	6.596668136
73	6.593174007
74	6.589421777
75	6.585789166
76	6.582876052
77	6.578651124
78	6.57483007
79	6.57124414
80	6.567100074
81	6.563270203
82	6.559847495
83	6.556050999
84	6.552403985
85	6.549377026
86	6.547415561
87	6.544636957
88	6.541474569
89	6.538209192
90	6.535321071
91	6.531923122
92	6.529326373
93	6.52561786
94	6.522531902
95	6.520483324
96	6.517823078
97	6.514874715
98	6.511778237
99	6.508818184
100	6.505489854
101	6.502434189
102	6.49995405
103	6.497136911
104	6.49393847
105	6.491509946
106	6.488940127
107	6.486669657
108	6.483745642
109	6.481348113
110	6.478872725
111	6.475520673
112	6.473232568
113	6.47061474
114	6.467225764
115	6.465310675
116	6.463467058
117	6.460203076
118	6.45784686
119	6.454620969
120	6.451917857
121	6.449218252
122	6.446470435
123	6.444458021
124	6.441507088
125	6.438849942
126	6.437000198
127	6.434293508
128	6.431719224
129	6.429221933
130	6.427126223
131	6.424369388
132	6.4217853
133	6.418642762
134	6.415722413
135	6.413835007
136	6.411427031
137	6.40907075
138	6.406846504
139	6.403721706
140	6.401808724
141	6.400311595
142	6.397669896
143	6.394763442
144	6.392087862
145	6.389848711
146	6.387361133
147	6.385135293
148	6.382932963
149	6.380698289
150	6.378729258
151	6.376896505
152	6.375233681
153	6.373031895
154	6.371630756
155	6.369901693
156	6.36672666
157	6.364803304
158	6.363131393
