iter	Passed	Remaining
401	20733	30842
402	20784	30790
403	20820	30715
404	20861	30648
405	20901	30579
406	20991	30584
407	21026	30508
408	21070	30446
409	21111	30380
410	21165	30332
411	21199	30256
412	21247	30199
413	21284	30127
414	21325	30061
415	21364	29992
416	21411	29934
417	21453	29871
418	21492	29801
419	21533	29736
420	21576	29673
421	21618	29610
422	21658	29543
423	21695	29473
424	21734	29405
425	21773	29338
426	21811	29269
427	21849	29201
428	21889	29134
429	21926	29064
430	21984	29024
431	22056	29000
432	22117	28962
433	22182	28929
434	22236	28882
435	22330	28885
436	22416	28879
437	22502	28872
438	22550	28817
439	22593	28755
440	22638	28695
441	22678	28630
442	22724	28572
443	22766	28508
444	22812	28451
445	22880	28421
446	22921	28357
447	22975	28308
448	23017	28246
449	23078	28207
450	23115	28138
451	23164	28084
452	23207	28022
453	23243	27954
454	23282	27888
455	23461	27988
456	23513	27938
457	23556	27877
458	23631	27853
459	23678	27796
460	23714	27726
461	23753	27661
462	23805	27609
463	23847	27548
464	23888	27484
465	23926	27417
466	23968	27355
467	24004	27286
468	24036	27214
469	24071	27144
470	24113	27083
471	24153	27018
472	24212	26976
473	24250	26910
474	24289	26846
475	24330	26783
476	24368	26718
477	24405	26652
478	24442	26585
479	24479	26519
480	24518	26455
481	24557	26391
482	24598	26329
483	24635	26264
484	24672	26198
485	24709	26132
486	24750	26071
487	24788	26007
488	24831	25949
489	24877	25893
490	24923	25836
491	24970	25782
492	25022	25732
493	25062	25671
494	25097	25604
495	25131	25537
496	25168	25472
497	25252	25455
498	25296	25397
499	25337	25337
500	25379	25278
501	25424	25222
502	25479	25176
503	25520	25115
504	25565	25059
505	25622	25014
506	25667	24958
507	25727	24916
508	25779	24868
509	25841	24828
510	25886	24771
511	25954	24738
512	26008	24689
513	26062	24642
514	26116	24594
515	26168	24545
516	26230	24505
517	26279	24452
518	26326	24398
519	26382	24353
520	26395	24267
521	26443	24214
522	26495	24164
523	26539	24108
524	26589	24057
525	26680	24042
526	26730	23991
527	26776	23936
528	26825	23884
529	26891	23846
530	27050	23891
531	27152	23886
532	27206	23837
533	27264	23792
534	27305	23732
535	27352	23677
536	27406	23629
537	27457	23578
538	27508	23527
539	27568	23484
540	27577	23397
541	27616	23336
542	27659	23279
543	27706	23224
544	27782	23194
545	27839	23148
546	27888	23096
547	27932	23039
548	27980	22985
549	28028	22932
550	28080	22882
551	28134	22833
552	28179	22777
553	28245	22739
554	28288	22682
555	28333	22626
556	28383	22574
557	28443	22530
558	28500	22484
559	28555	22436
560	28603	22383
561	28648	22327
562	28698	22275
563	28745	22221
564	28798	22172
565	28845	22118
566	28883	22057
567	28927	22000
568	28968	21942
569	29020	21892
570	29092	21857
571	29133	21799
572	29176	21742
573	29230	21693
574	29291	21650
575	29333	21592
576	29383	21541
577	29439	21494
578	29526	21469
