iter	RMSE
0	7.687145145
1	7.440148421
2	7.215536332
3	7.014042464
4	6.863187809
5	6.723861013
6	6.597697961
7	6.490576047
8	6.398040605
9	6.319834953
10	6.257206332
11	6.199437186
12	6.150896064
13	6.116865844
14	6.090634418
15	6.060590299
16	6.03441615
17	6.016503275
18	5.998146084
19	5.985487764
20	5.972779459
21	5.951566735
22	5.936050213
23	5.925611595
24	5.919300142
25	5.909794166
26	5.896219394
27	5.889173487
28	5.866508221
29	5.86267909
30	5.846994078
31	5.842052425
32	5.834416947
33	5.828735362
34	5.820461753
35	5.815387894
36	5.810589644
37	5.804500176
38	5.796331857
39	5.78970831
40	5.787872896
41	5.783008499
42	5.775508332
43	5.773191396
44	5.769041477
45	5.765329426
46	5.760985305
47	5.757491559
48	5.751496675
49	5.745948517
50	5.743803671
51	5.739052212
52	5.735290712
53	5.731385266
54	5.727059424
55	5.712732637
56	5.706965818
57	5.703952068
58	5.700190351
59	5.698975111
60	5.694998631
61	5.693524709
62	5.690009077
63	5.685359806
64	5.682143372
65	5.680850677
66	5.679622276
67	5.669208581
68	5.666598218
69	5.66163334
70	5.659377008
71	5.657346873
72	5.655928684
73	5.654163048
74	5.652322199
75	5.649809313
76	5.646535529
77	5.645301935
78	5.642884941
79	5.638838487
80	5.637470311
81	5.6360613
82	5.632529183
83	5.62919549
84	5.627477341
85	5.626665391
86	5.624026328
87	5.622123011
88	5.620500818
89	5.618392961
90	5.614206172
91	5.612382034
92	5.61039543
93	5.606580714
94	5.604252681
95	5.600806673
96	5.600001835
97	5.596574182
98	5.593534425
99	5.589434137
100	5.587573349
101	5.585027244
102	5.580250081
103	5.574214652
104	5.569629376
105	5.567913476
106	5.563414185
107	5.560701185
108	5.557489999
109	5.556102632
110	5.555187391
111	5.550657221
112	5.546268433
113	5.542410783
114	5.538871959
115	5.535763316
116	5.534265042
117	5.533982124
118	5.530361411
119	5.527025328
120	5.52265273
121	5.521287886
122	5.519340803
123	5.516971689
124	5.512824752
125	5.51153433
126	5.510821932
127	5.50913351
128	5.505252063
129	5.49911514
130	5.495812399
131	5.492602008
132	5.490272205
133	5.487250001
134	5.485515347
135	5.484155023
136	5.479675739
137	5.47793194
138	5.47576174
139	5.474248185
140	5.470833848
141	5.469497039
142	5.466678834
143	5.462030897
144	5.460366953
145	5.459327313
146	5.458033295
147	5.452939399
148	5.445784129
149	5.444416461
150	5.440091192
151	5.438855162
152	5.437882632
153	5.43644093
154	5.436217695
155	5.431626381
156	5.427954869
157	5.426789074
158	5.42395423
159	5.42292036
160	5.41920004
161	5.417042374
162	5.41257161
163	5.41135877
164	5.407972477
165	5.404878065
166	5.402605063
167	5.400489745
168	5.394971928
169	5.393927445
170	5.390487525
171	5.388174777
172	5.386430577
173	5.38448721
174	5.381872502
175	5.380795577
176	5.378081392
177	5.376049151
178	5.375050449
179	5.373369581
180	5.370029483
181	5.366821787
182	5.36302251
183	5.362257474
184	5.361351406
185	5.357865164
186	5.357518792
187	5.353569062
188	5.350632851
189	5.349346192
190	5.348502701
191	5.339254087
192	5.336731212
193	5.333905833
194	5.331599548
195	5.329770551
196	5.327401247
197	5.324680103
198	5.322254724
199	5.321435951
200	5.318094102
201	5.315401267
202	5.313700444
203	5.31222382
204	5.310606545
205	5.306644372
206	5.305994897
207	5.304182796
208	5.299130738
209	5.295953938
210	5.294688887
211	5.292555918
212	5.290828126
213	5.290254485
214	5.288181413
215	5.287215946
216	5.284484616
217	5.281337308
218	5.279829046
219	5.277651956
220	5.274517225
221	5.273464473
222	5.272334565
223	5.269513608
224	5.267416745
225	5.264887305
226	5.264343841
227	5.26373057
228	5.262732298
229	5.261867706
230	5.259026193
231	5.257777142
232	5.252347547
233	5.249596598
234	5.247298536
235	5.246534746
236	5.243464686
237	5.241552023
238	5.239796535
239	5.238119073
240	5.236944617
241	5.234741137
242	5.231132852
243	5.227500267
244	5.226488523
245	5.225524493
246	5.223102494
247	5.222631959
248	5.22168129
249	5.22141458
250	5.219731009
251	5.219312581
252	5.218059687
253	5.216575988
254	5.216215823
255	5.213707735
256	5.21154601
257	5.20996616
258	5.208222089
259	5.206371672
260	5.203677818
261	5.203204534
262	5.201106199
263	5.199048854
264	5.197455175
265	5.194709131
266	5.193019887
267	5.19192515
268	5.190254019
269	5.188433455
270	5.188182111
271	5.183860261
272	5.182652962
273	5.18052492
274	5.177267617
275	5.17585642
276	5.174100511
277	5.170817314
278	5.165990567
279	5.163563317
280	5.162641131
281	5.160602238
282	5.160451374
283	5.15907567
284	5.158287231
285	5.155627847
286	5.154189534
287	5.152726828
288	5.151986637
289	5.151251653
290	5.149505992
291	5.146753018
292	5.144878002
293	5.141711214
294	5.141051249
295	5.140335977
296	5.137858766
297	5.136788092
298	5.136396347
299	5.135651834
300	5.133411897
301	5.132355769
302	5.128936659
303	5.12839684
304	5.127082067
305	5.125427346
306	5.124518432
307	5.124271516
308	5.122317967
309	5.121777118
310	5.119627331
311	5.117634564
312	5.116341439
313	5.113334108
314	5.113012281
315	5.102837993
316	5.101379344
317	5.100255022
318	5.099575914
319	5.098848654
320	5.096634693
321	5.095109381
322	5.094046097
323	5.092944325
324	5.092415577
325	5.091051778
326	5.088956957
327	5.087264844
328	5.08568842
329	5.083381804
330	5.081360722
331	5.080679621
332	5.078769012
333	5.076207174
334	5.07560212
335	5.075375204
336	5.074564225
337	5.070826864
338	5.068535679
339	5.065982506
340	5.06380649
341	5.061767274
342	5.059423031
343	5.057919367
344	5.057442322
345	5.055205712
346	5.051792163
347	5.051002375
348	5.048686629
