iter	Passed	Remaining
0	3	1680
1	7	1857
2	12	2109
3	16	2077
4	20	2036
5	26	2166
6	32	2266
7	42	2595
8	49	2673
9	65	3204
10	77	3465
11	88	3584
12	99	3744
13	108	3759
14	116	3772
15	125	3782
16	139	3952
17	154	4126
18	187	4757
19	204	4918
20	224	5117
21	251	5461
22	274	5688
23	309	6146
24	325	6181
25	348	6345
26	362	6347
27	379	6391
28	394	6400
29	420	6593
30	474	7172
31	515	7546
32	546	7735
33	575	7881
34	595	7916
35	630	8126
36	646	8086
37	666	8097
38	689	8155
39	705	8110
40	721	8082
41	739	8061
42	757	8054
43	780	8084
44	792	8018
45	806	7964
46	818	7891
47	831	7833
48	846	7792
49	862	7765
50	886	7805
51	905	7799
52	920	7760
53	938	7752
54	960	7769
55	981	7779
56	994	7726
57	1003	7648
58	1012	7569
59	1021	7488
60	1029	7407
61	1037	7331
62	1047	7269
63	1056	7198
64	1075	7200
65	1084	7134
66	1094	7072
67	1105	7021
68	1113	6954
69	1121	6890
70	1131	6837
71	1140	6779
72	1154	6753
73	1167	6719
74	1183	6705
75	1193	6658
76	1205	6623
77	1215	6578
78	1226	6535
79	1234	6481
80	1243	6432
81	1253	6388
82	1266	6363
83	1274	6313
84	1282	6260
85	1290	6213
86	1299	6170
87	1317	6167
88	1334	6160
89	1355	6175
90	1375	6184
91	1390	6165
92	1400	6129
93	1441	6225
94	1493	6367
95	1534	6455
96	1550	6439
97	1565	6421
98	1576	6384
99	1580	6323
100	1586	6265
101	1590	6207
102	1595	6149
103	1599	6091
104	1604	6037
105	1608	5979
106	1625	5969
107	1629	5914
108	1647	5910
109	1658	5879
110	1674	5868
111	1692	5862
112	1701	5826
113	1710	5791
114	1721	5762
115	1734	5742
116	1745	5714
117	1761	5703
118	1776	5687
119	1801	5706
120	1818	5697
121	1831	5674
122	1842	5646
123	1856	5629
124	1867	5603
125	1878	5577
126	1889	5549
127	1902	5529
128	1920	5523
129	1937	5515
130	1961	5524
131	1977	5513
132	1999	5517
133	2023	5527
134	2054	5553
135	2103	5629
136	2122	5624
137	2140	5615
138	2160	5610
139	2172	5586
140	2187	5570
141	2198	5542
142	2208	5513
143	2219	5487
144	2229	5457
145	2240	5431
146	2251	5405
147	2261	5379
148	2273	5356
149	2288	5340
150	2301	5318
151	2310	5290
152	2318	5258
153	2327	5228
154	2337	5201
155	2345	5172
156	2356	5147
157	2366	5122
158	2378	5100
159	2392	5083
160	2406	5067
161	2431	5073
162	2443	5052
163	2453	5027
164	2463	5002
165	2475	4980
166	2486	4958
167	2497	4935
168	2512	4920
169	2532	4916
170	2565	4936
171	2578	4917
172	2591	4897
173	2600	4872
174	2621	4868
175	2628	4839
176	2636	4810
177	2643	4782
178	2649	4751
179	2657	4724
180	2665	4697
181	2672	4669
182	2680	4643
183	2687	4616
184	2696	4591
185	2703	4563
186	2711	4538
187	2720	4514
188	2728	4490
189	2736	4465
190	2744	4440
191	2751	4414
192	2758	4388
193	2765	4362
194	2774	4339
195	2782	4315
196	2790	4292
197	2800	4270
198	2808	4248
199	2818	4227
200	2828	4207
201	2841	4192
202	2851	4171
203	2857	4146
204	2865	4123
205	2875	4103
206	2883	4081
207	2893	4062
208	2900	4038
209	2909	4017
210	2916	3995
211	2924	3972
212	2931	3949
213	2938	3927
214	2945	3904
215	2953	3883
216	2960	3860
217	2968	3839
218	2975	3818
219	2981	3794
220	2990	3775
221	2998	3755
222	3009	3738
223	3017	3718
224	3025	3698
225	3030	3674
226	3035	3650
227	3039	3626
228	3045	3604
229	3054	3585
230	3060	3563
231	3064	3540
232	3070	3518
233	3076	3496
234	3088	3483
235	3098	3466
236	3105	3446
237	3111	3425
238	3117	3404
239	3122	3382
240	3128	3361
241	3133	3341
242	3140	3320
243	3146	3300
244	3151	3280
245	3157	3259
246	3162	3239
247	3168	3219
248	3173	3199
249	3179	3179
250	3186	3160
251	3192	3142
252	3198	3122
253	3206	3105
254	3212	3086
255	3219	3068
256	3225	3049
257	3231	3030
258	3237	3012
259	3243	2993
260	3248	2974
261	3255	2956
262	3260	2937
263	3264	2918
264	3269	2899
265	3273	2879
266	3276	2859
267	3281	2840
268	3285	2821
269	3290	2803
270	3294	2783
271	3299	2766
272	3306	2749
273	3310	2730
274	3315	2713
275	3319	2694
276	3323	2675
277	3327	2657
278	3331	2639
279	3335	2620
280	3338	2602
281	3342	2583
282	3347	2566
283	3353	2550
284	3358	2533
285	3362	2515
286	3368	2500
287	3374	2483
288	3379	2467
289	3386	2452
290	3392	2436
291	3397	2419
292	3403	2404
293	3407	2387
294	3411	2370
295	3416	2354
296	3419	2337
297	3424	2321
298	3428	2304
299	3432	2288
300	3435	2271
301	3439	2255
302	3443	2238
303	3448	2223
304	3453	2208
305	3459	2193
306	3465	2178
307	3473	2165
308	3477	2149
309	3483	2134
310	3487	2119
311	3491	2104
312	3498	2090
313	3504	2075
314	3510	2061
315	3516	2047
316	3519	2031
317	3522	2015
318	3527	2001
319	3531	1986
320	3536	1972
321	3540	1957
322	3546	1943
323	3549	1928
324	3554	1913
325	3559	1899
326	3565	1886
327	3570	1872
328	3576	1858
329	3580	1844
330	3585	1830
331	3588	1815
332	3593	1802
333	3600	1789
334	3607	1776
335	3613	1763
336	3619	1750
337	3624	1737
338	3630	1724
339	3637	1711
340	3642	1698
341	3646	1684
342	3653	1672
343	3659	1659
344	3663	1645
345	3667	1632
346	3670	1618
347	3674	1605
348	3679	1591
349	3683	1578
