iter	Passed	Remaining
0	17	17510
1	34	17365
2	53	17630
3	70	17655
4	88	17645
5	108	18020
6	128	18166
7	149	18485
8	172	18947
9	195	19362
10	219	19739
11	265	21842
12	288	21934
13	322	22727
14	444	29198
15	572	35230
16	752	43507
17	802	43761
18	841	43442
19	892	43750
20	935	43600
21	982	43673
22	1027	43634
23	1067	43421
24	1100	42921
25	1148	43009
26	1164	41976
27	1201	41707
28	1260	42219
29	1312	42445
30	1357	42423
31	1399	42339
32	1437	42133
33	1474	41898
34	1510	41645
35	1563	41853
36	1643	42764
37	1683	42612
38	1718	42350
39	1747	41945
40	1778	41603
41	1810	41296
42	1842	41009
43	1877	40786
44	1911	40557
45	1946	40363
46	1958	39702
47	1999	39660
48	2032	39450
49	2067	39283
50	2102	39114
51	2142	39052
52	2210	39488
53	2277	39896
54	2301	39549
55	2327	39229
56	2357	39000
57	2389	38806
58	2416	38547
59	2448	38360
60	2478	38158
61	2506	37915
62	2537	37743
63	2568	37557
64	2600	37412
65	2657	37611
66	2794	38912
67	2851	39085
68	2896	39087
69	2942	39090
70	2993	39171
71	3010	38802
72	3048	38717
73	3086	38628
74	3118	38456
75	3147	38265
76	3191	38258
77	3221	38083
78	3252	37916
79	3282	37746
80	3311	37568
81	3341	37410
82	3372	37260
83	3406	37149
84	3436	36987
85	3470	36889
86	3505	36783
87	3537	36663
88	3571	36556
89	3601	36416
90	3632	36282
91	3697	36492
92	3754	36618
93	3795	36585
94	3846	36642
95	3897	36705
96	3947	36752
97	3979	36630
98	4008	36482
99	4036	36329
100	4068	36211
101	4102	36120
102	4151	36155
103	4202	36208
104	4271	36408
105	4325	36478
106	4389	36633
107	4493	37111
108	4545	37157
109	4588	37123
110	4629	37074
111	4669	37019
112	4737	37183
113	4776	37120
114	4815	37059
115	4853	36990
116	4897	36959
117	4940	36926
118	4989	36936
119	5035	36924
120	5088	36962
121	5225	37605
122	5326	37978
123	5433	38384
124	5471	38298
125	5509	38217
126	5554	38181
127	5593	38107
128	5637	38061
129	5676	37988
130	5740	38083
131	5795	38111
132	5830	38008
133	5864	37902
134	5903	37824
135	5949	37794
136	5991	37741
137	6036	37707
138	6081	37669
139	6118	37585
140	6162	37544
141	6211	37533
142	6255	37488
143	6300	37455
144	6347	37427
145	6388	37371
146	6437	37355
147	6477	37290
148	6523	37255
149	6571	37238
150	6614	37189
151	6651	37106
152	6695	37063
153	6734	36997
154	6801	37081
155	6839	37002
156	6880	36946
157	6936	36963
158	6992	36985
159	7034	36933
160	7087	36934
161	7146	36967
162	7307	37522
163	7542	38450
164	7585	38389
165	7628	38325
166	7642	38123
167	7708	38173
168	7854	38620
169	7890	38521
170	7932	38455
171	7966	38350
172	8007	38280
173	8053	38231
174	8100	38185
175	8164	38226
176	8244	38336
177	8307	38362
178	8360	38346
179	8427	38394
180	8501	38468
181	8546	38411
182	8584	38326
183	8622	38239
184	8665	38173
185	8709	38115
186	8764	38104
187	8804	38028
188	8871	38067
189	8908	37980
190	8945	37889
191	8981	37798
192	9028	37750
193	9084	37743
194	9135	37713
195	9177	37647
196	9233	37638
197	9318	37746
198	9352	37646
199	9364	37456
200	9406	37390
201	9440	37296
202	9478	37215
203	9521	37154
204	9568	37107
205	9626	37103
206	9723	37249
207	9804	37332
208	9870	37357
209	9961	37474
210	9993	37367
211	10028	37275
212	10068	37202
213	10115	37153
214	10172	37143
215	10211	37063
216	10250	36986
217	10292	36919
218	10329	36837
219	10368	36762
220	10407	36686
221	10446	36610
222	10490	36550
223	10545	36532
224	10586	36465
225	10622	36378
226	10657	36292
227	10692	36205
228	10754	36209
229	10813	36201
230	10855	36137
231	10892	36056
232	10979	36141
233	11025	36092
234	11067	36029
235	11122	36005
236	11175	35978
237	11234	35970
238	11295	35965
239	11365	35989
240	11476	36142
241	11524	36096
242	11723	36521
243	11824	36636
244	11869	36576
245	11924	36549
246	11998	36579
247	12036	36497
248	12076	36423
249	12140	36420
250	12223	36474
251	12352	36665
252	12420	36672
253	12473	36634
254	12534	36620
255	12576	36550
256	12617	36479
257	12661	36414
258	12709	36361
259	12751	36293
260	12787	36207
261	12833	36150
262	12871	36070
263	12912	35999
264	12948	35913
265	13021	35931
266	13067	35873
267	13099	35778
268	13133	35690
269	13167	35601
270	13207	35529
271	13267	35510
272	13311	35449
273	13358	35395
274	13402	35332
275	13480	35362
276	13538	35336
277	13587	35288
278	13632	35230
279	13668	35148
280	13705	35069
281	13747	35002
282	13785	34927
283	13827	34862
284	13870	34798
285	13908	34721
286	13944	34643
287	13986	34577
288	14075	34629
289	14114	34555
290	14144	34463
291	14184	34392
292	14242	34366
293	14298	34335
294	14363	34325
295	14459	34389
296	14560	34465
297	14621	34444
298	14664	34381
299	14710	34325
300	14747	34248
301	14784	34169
302	14825	34103
303	14872	34050
304	14914	33986
