iter	RMSE
0	6.996670976
1	6.989313205
2	6.981667207
3	6.972249563
4	6.963856292
5	6.956110639
6	6.947679433
7	6.940263138
8	6.932711079
9	6.924733963
10	6.91698204
11	6.909394983
12	6.90407865
13	6.896907069
14	6.889750885
15	6.882273803
16	6.875004052
17	6.867882137
18	6.860784904
19	6.853080283
20	6.846992845
21	6.84053389
22	6.834802787
23	6.828051325
24	6.821431715
25	6.814862559
26	6.810905788
27	6.805824062
28	6.800094265
29	6.792989664
30	6.787124615
31	6.78093874
32	6.775903987
33	6.770160588
34	6.765132334
35	6.759326254
36	6.753494933
37	6.747221582
38	6.741509119
39	6.735587888
40	6.729766252
41	6.724622247
42	6.720112741
43	6.714689328
44	6.710383924
45	6.70489947
46	6.702267076
47	6.698155207
48	6.692896825
49	6.689365813
50	6.684292793
51	6.679224349
52	6.673625573
53	6.669527562
54	6.664612308
55	6.660966946
56	6.656562287
57	6.652010512
58	6.648487965
59	6.64450749
60	6.639836997
61	6.636597478
62	6.633023607
63	6.629781194
64	6.626046328
65	6.621392371
66	6.617218308
67	6.613261565
68	6.6090142
69	6.605034083
70	6.601225862
71	6.599699704
72	6.596105108
73	6.592092784
74	6.588533234
75	6.584869427
76	6.580758014
77	6.577254337
78	6.573339582
79	6.569308021
80	6.565536691
81	6.562153975
82	6.558533204
83	6.55546838
84	6.552158988
85	6.549620341
86	6.54616354
87	6.543722045
88	6.540174371
89	6.536424767
90	6.534059478
91	6.529918911
92	6.526400267
93	6.523660866
94	6.520098541
95	6.517841647
96	6.514628611
97	6.512340759
98	6.509489044
99	6.506863699
100	6.504370308
101	6.50115705
102	6.497929858
103	6.494285086
104	6.491888131
105	6.489188115
106	6.485938939
107	6.483737737
108	6.48062287
109	6.477840755
110	6.474104864
111	6.471151922
112	6.468281867
113	6.465680316
114	6.462728126
115	6.460679823
116	6.457566463
117	6.454136461
118	6.450994987
119	6.448459614
120	6.445844892
121	6.443345949
122	6.441268943
123	6.439072696
124	6.436905278
125	6.433927525
126	6.431469811
127	6.428814759
128	6.425984724
129	6.42314443
130	6.421135919
131	6.418914299
132	6.41642174
133	6.414155095
134	6.411411219
135	6.409275341
136	6.407494392
137	6.404285582
138	6.401520782
139	6.399076729
140	6.397121139
141	6.395415205
142	6.392995699
143	6.390594371
144	6.388118047
145	6.386088146
146	6.384088401
147	6.381758963
148	6.380119011
149	6.378994858
150	6.377728425
151	6.375309674
152	6.373125605
153	6.370321726
154	6.368400935
155	6.365727381
156	6.364395154
157	6.361805309
158	6.358566975
159	6.356376046
160	6.354058912
161	6.351081909
162	6.348307653
163	6.347067972
164	6.345400677
165	6.343544247
166	6.343239055
167	6.340440214
168	6.337501
169	6.33614955
170	6.33396759
171	6.333225949
172	6.33124675
173	6.328927304
174	6.326298494
175	6.324060563
176	6.322218056
177	6.319988355
178	6.318808429
179	6.317398961
180	6.315608818
181	6.313579739
182	6.31211049
183	6.31046803
184	6.308400928
185	6.306472989
186	6.304944301
187	6.303518517
188	6.302007646
189	6.300525388
190	6.299084885
191	6.297435284
192	6.295853753
193	6.293787988
194	6.291825086
195	6.290045886
196	6.288177024
197	6.287138993
198	6.285251687
199	6.285061905
200	6.283648047
201	6.28184793
202	6.280907699
203	6.278916456
204	6.276609966
205	6.275515517
206	6.274613707
207	6.272945117
208	6.271225739
209	6.269378155
210	6.268191485
211	6.266689126
212	6.265647803
213	6.264383076
214	6.263374129
215	6.262006567
216	6.26080614
217	6.25991911
218	6.257671024
219	6.255845296
220	6.254340814
221	6.252872907
222	6.251582139
223	6.250521292
224	6.248727332
225	6.247000104
226	6.246176301
227	6.245042085
228	6.243838567
229	6.2422095
230	6.241032419
231	6.23972056
232	6.237766534
233	6.23714311
234	6.235597701
235	6.234021625
236	6.233078281
237	6.232303862
238	6.230838548
239	6.229780919
240	6.228715306
241	6.228196758
242	6.226507468
243	6.225429128
244	6.224223136
245	6.223489798
246	6.222429038
247	6.221295391
248	6.21960825
249	6.218213254
250	6.216479619
251	6.214914086
252	6.21373202
253	6.213089672
254	6.212238523
255	6.211313494
256	6.210387532
257	6.20859636
258	6.207801472
259	6.206764937
260	6.205447615
261	6.203184623
262	6.201497767
263	6.200664166
264	6.200066943
265	6.198322719
266	6.196756737
267	6.195671479
268	6.193761468
269	6.192802568
270	6.190088959
271	6.189788925
272	6.18823166
273	6.187446285
274	6.18623356
275	6.185343101
276	6.183646124
277	6.18251147
278	6.181478301
279	6.180694905
280	6.178461181
281	6.178329578
282	6.177645601
283	6.177055696
284	6.176395076
285	6.174802944
286	6.173985941
287	6.172189788
288	6.171787588
289	6.171107701
290	6.170542639
291	6.169606378
292	6.16884793
293	6.167579404
294	6.166583878
295	6.164909969
296	6.163890648
297	6.163329141
298	6.162612524
299	6.161684399
300	6.16068326
301	6.159557065
302	6.158009602
303	6.157441092
304	6.156230648
305	6.155051284
306	6.154738557
307	6.153869003
308	6.15309655
309	6.152044695
310	6.151445666
311	6.150292931
312	6.149596361
313	6.149107264
314	6.148664178
315	6.148444679
316	6.148380324
317	6.146858542
318	6.146027491
319	6.145597238
320	6.144959025
321	6.144007632
322	6.143049996
323	6.142559996
324	6.141754747
325	6.140430689
326	6.139438212
327	6.138934275
328	6.138016239
329	6.137223986
330	6.135933975
331	6.134756857
332	6.133757802
333	6.132218961
334	6.13184111
335	6.131136022
336	6.130200472
337	6.129072938
338	6.127796157
339	6.127391361
340	6.127361618
341	6.126049581
342	6.125355809
343	6.124627621
344	6.123716856
345	6.122972477
346	6.122112539
347	6.12154417
348	6.12090341
349	6.120135875
350	6.119503635
351	6.11824117
352	6.117330456
353	6.117142012
354	6.115976659
355	6.115932491
356	6.11507065
357	6.114435402
358	6.113046834
359	6.111089264
360	6.110559881
361	6.109287047
362	6.108687705
363	6.108118134
364	6.107722114
365	6.106478184
366	6.105512686
367	6.104351608
368	6.102882502
369	6.101842551
370	6.100850871
371	6.100348107
372	6.099206376
373	6.098412476
374	6.097515222
375	6.095665842
376	6.094822548
377	6.093721627
378	6.092889228
379	6.092426646
380	6.090812064
381	6.090503256
382	6.090146229
383	6.088963988
384	6.088236449
385	6.087953679
386	6.087053427
387	6.086264427
388	6.085348421
389	6.083964323
390	6.082669356
391	6.082186417
392	6.081630646
393	6.07992984
